place_label_id,place_id,english_label,hebrew_label,hebrew_label_transliterated,hebrew_label_meaning,hebrew_strongs_number,greek_label,greek_label_transliterated,greek_label_meaning,greek_strongs_number,label_reference_id,label_type,open_bible_id,label-given_by_god,label_notes,place_label_count,label_sequence
Edom_1_1,Edom_1,Edom,אֱדוֹם,edom,red,H123,Εδωμ,Edōm,,none,GEN 32:3,proper name,a2735ff,,The Rahlfs Septuaginta and Biblia Hebraica Stuttgartensia equivalent verse is GEN 32:4.,1,103
Jabbok_1_1,Jabbok_1,Jabbok,יַבֹּק,yaboq,flowing or wrestling,H2999,Ιαβοκ,Iabok,,none,GEN 32:22,proper name,aca7bd9,,The Rahlfs Septuaginta and Biblia Hebraica Stuttgartensia equivalent verse is GEN 32:23.,1,104
Peniel_1_1,Peniel_1,Peniel,פְּנִיאֵל,pəniyel,face of G-d [El],H6439,Εἶδος θεοῦ,Ei̓͂dos theou͂,face [of] G-d,"G1491, G2316",GEN 32:30,proper name,a8a9ff9,,The Rahlfs Septuaginta and Biblia Hebraica Stuttgartensia equivalent verse is GEN 32:31.  Rahlfs translates the name rather than transliterating it.,1,105
Peniel_1_2,Peniel_1,Penuel,פְּנוּאֵל,pənuel,face of G-d [El],H6439,Εἶδος τοῦ θεοῦ,Ei̓͂dos tou͂ theou͂,the face [of] G-d,"G1491, G3588, G2316",GEN 32:31,proper name,a8a9ff9,,The Rahlfs Septuaginta and Biblia Hebraica Stuttgartensia equivalent verse is GEN 32:32.  Rahlfs translates the name rather than transliterating it.,2,106
Succoth_1_1,Succoth_1,Succoth,סֻכּוֹת,sukot,booths,H5523,Σκηναί,Skēnaí,"tent, tabernacle",G4633,GEN 33:17,proper name,a0905b5,,,1,107
El-bethel_1_1,El-bethel_1,El-bethel,אֵ֖ל בֵּֽית־אֵ֑ל,el beyt-el,the G-d of Bethel,"H408, H1008",Βαιθηλ,Baithēl,,none,GEN 35:7,proper name,a30b045,,,1,108
Allon-bacuth_1_1,Allon-bacuth_1,Allon-bacuth,אַלּוֹן בָּכֽוּת,alon bakəut,oak of weeping,H439,Βάλανος πένθους,Bálanos pénthous,oak [of] mourning,"none, G3997",GEN 35:8,proper name,af9a894,,Rahlfs Septuaginta translates the Hebrew name instead of transliterating it.,1,109
Bethlehem_1_1,Bethlehem_1,Ephrath,אֶפְרָתָה,ephəratah,fruitful land,H672,Εφραθα,Ephratha,,none,GEN 35:16,proper name,af4e985,,,1,110
Bethlehem_1_2,Bethlehem_1,Bethlehem,בֵּית לֶחֶם,beyt lechem,house of bread,H1035,Βηθλεεμ,Bēthleem,,G965,GEN 35:19,proper name,a112427,,,2,111
Migdal Eder_1_1,Migdal Eder_1,Migdal Eder,מִגְדַּל־עֵדֶר,migədal-eder,tower of flock,H4029,[none],,,,GEN 35:21,proper name,ab80fa1,,Rahlfs Septuaginta does not contain an equivalent verse for GEN 35:21,1,112
